model,variable,value,barr_type,option_type,n_samples,eta,closed,fdm,reference,mc_mean,mc_std,mc_rel_error_pct,cvae_mean,cvae_std,cvae_rel_error_pct,mc_seconds_mean,cvae_seconds_mean,used_sample_count_mean,discarded_sample_count_mean,discarded_sample_pct_mean,regenerated_sample_count_mean,regenerated_sample_pct_mean,mt_corrected_sample_count_mean,mt_corrected_sample_pct_mean,error
hes,theta,0.035,barr,put,100000,"(1.0, 1.0, 0.03, 2, 0.035, 0.5, -0.7, 0.05, 1.5)",,0.005678893404491705,0.005678893404491705,0.005637037281997194,6.966812460900291e-05,0.737047158895515,0.005913852308847345,6.732281738749999e-05,4.137406491373833,1.0337059911416144,0.057987516180146484,100000.0,,,0.0,0.0,2318.86,2.3188599999999995,
hes,theta,0.15,van,call,1000,"(1.0, 1.0, 0.03, 2, 0.15, 0.5, -0.7, 0.05, 1.5)",,0.1801173271636831,0.1801173271636831,0.1802797623257841,0.007684520395517174,0.090182973875357,0.18086542912133377,0.007391310365046141,0.41534147182344,0.8896017511811806,0.001907071601599455,1000.0,,,0.0,0.0,15.44,1.5439999999999998,
hes,theta,0.15,van,call,10000,"(1.0, 1.0, 0.03, 2, 0.15, 0.5, -0.7, 0.05, 1.5)",,0.1801173271636831,0.1801173271636831,0.1798022017969107,0.002807284379412977,0.17495560906587124,0.17941304905924063,0.002544029957566832,0.3910107459025521,0.9010821513022529,0.007911090998677537,10000.0,,,0.0,0.0,163.64,1.6364,
hes,theta,0.15,van,call,100000,"(1.0, 1.0, 0.03, 2, 0.15, 0.5, -0.7, 0.05, 1.5)",,0.1801173271636831,0.1801173271636831,0.18019457870933503,0.0007029811351500991,0.04288956918716528,0.17987321571645765,0.0008145247125425868,0.13552913041153677,0.9105911523185205,0.05773511295905337,100000.0,,,0.0,0.0,1641.24,1.64124,
hes,theta,0.15,van,put,1000,"(1.0, 1.0, 0.03, 2, 0.15, 0.5, -0.7, 0.05, 1.5)",,0.13611480867595643,0.13611480867595643,0.1369930114656157,0.006921454775774312,0.6451926856467046,0.1370857162828567,0.005441792729146871,0.713300497091156,0.8896017511811806,0.001907071601599455,1000.0,,,0.0,0.0,15.44,1.5439999999999998,
hes,theta,0.15,van,put,10000,"(1.0, 1.0, 0.03, 2, 0.15, 0.5, -0.7, 0.05, 1.5)",,0.13611480867595643,0.13611480867595643,0.13623267448947848,0.0021244350172372802,0.08659293920226484,0.13672631355137085,0.0018490919915152687,0.4492566836502027,0.9010821513022529,0.007911090998677537,10000.0,,,0.0,0.0,163.64,1.6364,
hes,theta,0.15,van,put,100000,"(1.0, 1.0, 0.03, 2, 0.15, 0.5, -0.7, 0.05, 1.5)",,0.13611480867595643,0.13611480867595643,0.1360855913519066,0.0006726074876253779,0.021465205978724314,0.1364586587860217,0.0006063070783200571,0.2526177081024744,0.9105911523185205,0.05773511295905337,100000.0,,,0.0,0.0,1641.24,1.64124,
hes,theta,0.15,barr,call,1000,"(1.0, 1.0, 0.03, 2, 0.15, 0.5, -0.7, 0.05, 1.5)",,0.14777938891675307,0.14777938891675307,0.14769461658826055,0.007226061878500114,0.05736410815738016,0.1499408073744049,0.0072397036040703884,1.4625980480061391,0.8896017511811806,0.001907071601599455,1000.0,,,0.0,0.0,15.44,1.5439999999999998,
hes,theta,0.15,barr,call,10000,"(1.0, 1.0, 0.03, 2, 0.15, 0.5, -0.7, 0.05, 1.5)",,0.14777938891675307,0.14777938891675307,0.14747792764625867,0.0026298497830377185,0.20399412442030487,0.14827122431264386,0.0026235804181857455,0.33281731606553644,0.9010821513022529,0.007911090998677537,10000.0,,,0.0,0.0,163.64,1.6364,
hes,theta,0.15,barr,call,100000,"(1.0, 1.0, 0.03, 2, 0.15, 0.5, -0.7, 0.05, 1.5)",,0.14777938891675307,0.14777938891675307,0.1478210099244199,0.0007172882848412147,0.028164284594705543,0.1488267729560522,0.000724005450849144,0.708748389729195,0.9105911523185205,0.05773511295905337,100000.0,,,0.0,0.0,1641.24,1.64124,
hes,theta,0.15,barr,put,1000,"(1.0, 1.0, 0.03, 2, 0.15, 0.5, -0.7, 0.05, 1.5)",,0.0026292948847572747,0.0026292948847572747,0.00267824825034769,0.0005076940013650447,1.8618438682633471,0.0028917701830116376,0.0006351126959521429,9.98272577853486,0.8896017511811806,0.001907071601599455,1000.0,,,0.0,0.0,15.44,1.5439999999999998,
hes,theta,0.15,barr,put,10000,"(1.0, 1.0, 0.03, 2, 0.15, 0.5, -0.7, 0.05, 1.5)",,0.0026292948847572747,0.0026292948847572747,0.0026641855972919515,0.00012444631013971212,1.326998836720352,0.002826599712379545,0.00017864132691522408,7.504096583692426,0.9010821513022529,0.007911090998677537,10000.0,,,0.0,0.0,163.64,1.6364,
hes,theta,0.15,barr,put,100000,"(1.0, 1.0, 0.03, 2, 0.15, 0.5, -0.7, 0.05, 1.5)",,0.0026292948847572747,0.0026292948847572747,0.002640434295080114,5.4435581587381366e-05,0.42366530994364693,0.002808308182808085,5.44508023272547e-05,6.808414647158753,0.9105911523185205,0.05773511295905337,100000.0,,,0.0,0.0,1641.24,1.64124,
