set_idx,option,opt_type,barrier,S0,K,r,sigma,T,closed_form_delta,mc_1k_delta,mc_10k_delta,mc_100k_delta,cvae_1k_delta,cvae_10k_delta,cvae_100k_delta,mc_1k_n_paths,mc_10k_n_paths,mc_100k_n_paths,mc_dt,mc_seed,cvae_1k_n_samples,cvae_10k_n_samples,cvae_100k_n_samples,cvae_seed,delta_h,rho_h,vega_h,theta_h,mc_1k_abs_error,mc_10k_abs_error,mc_100k_abs_error,cvae_1k_abs_error,cvae_10k_abs_error,cvae_100k_abs_error
12,van_call,call,,1.0,1.0,0.06834629351721364,0.4583538372485301,1.577,0.6826246188613887,0.6540394807070166,0.6823554720303437,0.6838841588684086,0.6925944985202992,0.6834328275411305,0.6898839924741884,1000,10000,100000,0.001,2434,1000,10000,100000,2434,0.01,0.0006834629351721364,0.004583538372485301,0.01577,0.028585138154372136,0.00026914683104495296,0.001259540007019888,0.009969879658910497,0.0008082086797418508,0.007259373612799713
12,van_put,put,,1.0,1.0,0.06834629351721364,0.4583538372485301,1.577,-0.3173753811386113,-0.3330172012765892,-0.31511080715380946,-0.3153931769552143,-0.3042054717562387,-0.31397854513574575,-0.3107088132617536,1000,10000,100000,0.001,2434,1000,10000,100000,2434,0.01,0.0006834629351721364,0.004583538372485301,0.01577,0.01564182013797788,0.002264573984801843,0.001982204183397007,0.013169909382372613,0.0033968360028655553,0.00666656787685771
12,barr_call,call,0.8,1.0,1.0,0.06834629351721364,0.4583538372485301,1.577,0.9183937840709672,0.8062429604935362,0.8787158459754391,0.9264929351681161,0.8883436061893957,0.8337923307548373,0.933833550207197,1000,10000,100000,0.001,2434,1000,10000,100000,2434,0.01,0.0006834629351721364,0.004583538372485301,0.01577,0.112150823577431,0.03967793809552811,0.008099151097148982,0.030050177881571494,0.0846014533161299,0.015439766136229882
12,barr_put,put,0.8,1.0,1.0,0.06834629351721364,0.4583538372485301,1.577,0.005327487683262633,0.005862033661021074,0.0016421694605857828,0.0066016403496300296,0.02675053779266263,-0.0008086532567866357,0.00821189430866237,1000,10000,100000,0.001,2434,1000,10000,100000,2434,0.01,0.0006834629351721364,0.004583538372485301,0.01577,0.000534545977758441,0.00368531822267685,0.0012741526663673968,0.0214230501094,0.0061361409400492685,0.002884406625399738
13,van_call,call,,1.0,1.0,0.07127020269829003,0.9204821685219947,2.017,0.7774478635895953,0.7852118888041493,0.812387774730372,0.7714506982067881,0.9951558594915144,0.9237086133011663,0.9047214043786056,1000,10000,100000,0.001,2534,1000,10000,100000,2534,0.01,0.0007127020269829002,0.009204821685219947,0.02017,0.007764025214553993,0.03493991114077677,0.005997165382807146,0.21770799590191914,0.146260749711571,0.12727354078901032
13,van_put,put,,1.0,1.0,0.07127020269829003,0.9204821685219947,2.017,-0.22255213641040472,-0.21423536845188718,-0.2165369677079032,-0.22191451837677567,-0.212927248292466,-0.21805606614579975,-0.21964349592929477,1000,10000,100000,0.001,2534,1000,10000,100000,2534,0.01,0.0007127020269829002,0.009204821685219947,0.02017,0.008316767958517546,0.006015168702501517,0.0006376180336290505,0.009624888117938712,0.004496070264604968,0.0029086404811099476
13,barr_call,call,0.8,1.0,1.0,0.07127020269829003,0.9204821685219947,2.017,1.0260034872866586,1.2538678460974395,1.0267914824430373,0.9990539435708157,4.649517306183687,1.6256803883081261,1.2271580770522983,1000,10000,100000,0.001,2534,1000,10000,100000,2534,0.01,0.0007127020269829002,0.009204821685219947,0.02017,0.22786435881078093,0.0007879951563787291,0.026949543715842905,3.6235138188970284,0.5996769010214675,0.2011545897656397
13,barr_put,put,0.8,1.0,1.0,0.07127020269829003,0.9204821685219947,2.017,0.0005098090854770143,0.004415948211356445,0.0010195057848743719,0.0010952506446642327,-0.0016545305533676984,-0.0005218319995930771,0.0012731539256083156,1000,10000,100000,0.001,2534,1000,10000,100000,2534,0.01,0.0007127020269829002,0.009204821685219947,0.02017,0.0039061391258794305,0.0005096966993973575,0.0005854415591872184,0.0021643396388447127,0.0010316410850700914,0.0007633448401313013
14,van_call,call,,1.0,1.0,0.03702507547903949,0.879190092353161,1.928,0.7482085527247304,0.7614091229075692,0.7540731973903481,0.7482793285885803,0.8476394460958825,0.8512912224345359,0.8477171434647879,1000,10000,100000,0.001,2634,1000,10000,100000,2634,0.01,0.0003702507547903949,0.00879190092353161,0.01928,0.013200570182838822,0.0058646446656176465,7.077586384984791e-05,0.09943089337115207,0.10308266970980551,0.09950859074005747
14,van_put,put,,1.0,1.0,0.03702507547903949,0.879190092353161,1.928,-0.2517914472752696,-0.2596495989812042,-0.25413127460729434,-0.2510639843775808,-0.2467723934621413,-0.24843178726952075,-0.24928090851543683,1000,10000,100000,0.001,2634,1000,10000,100000,2634,0.01,0.0003702507547903949,0.00879190092353161,0.01928,0.007858151705934624,0.0023398273320247576,0.0007274628976887687,0.0050190538131282825,0.0033596600057488324,0.002510538759832759
