set_idx,option,opt_type,barrier,S0,K,r,kappa,long_var,xi,corr,v0,T,mc_1k_delta,mc_10k_delta,mc_100k_delta,cvae_1k_delta,cvae_10k_delta,cvae_100k_delta,mc_1k_n_paths,mc_10k_n_paths,mc_reference_n_paths,mc_dt,mc_seed,cvae_1k_n_samples,cvae_10k_n_samples,cvae_100k_n_samples,cvae_seed,delta_h,rho_h,v0_h,theta_h,mc_1k_abs_error,mc_10k_abs_error,cvae_1k_abs_error,cvae_10k_abs_error,cvae_100k_abs_error
7,barr_put,put,0.8,1.0,1.0,0.08018721775350193,4.242806331752232,0.08442698759873137,0.9960707147944412,-0.9087564750701501,0.16840377142426002,1.958,-0.004066499582162106,0.004974959621268423,0.0019599393721749674,-0.013192689295634588,-0.006142920687103571,0.0010731969866002982,1000,10000,100000,0.001,1934,1000,10000,100000,1934,0.01,0.0008018721775350194,0.0016840377142426002,0.01958,0.006026438954337073,0.0030150202490934557,0.015152628667809556,0.008102860059278539,0.0008867423855746692
8,van_call,call,,1.0,1.0,0.09581393536837052,1.5461970093427224,0.10693284744798107,0.6571037972046864,-0.9547464662623187,0.0005325770826653819,0.539,0.7975570124467951,0.7827850483371742,0.7909536284288129,0.7914593029748063,0.795623276940019,0.7943100508262663,1000,10000,100000,0.001,2034,1000,10000,100000,2034,0.01,0.0009581393536837051,5.325770826653819e-06,0.005390000000000001,0.006603384017982217,0.008168580091638677,0.0005056745459933731,0.004669648511206104,0.0033564223974533736
8,van_put,put,,1.0,1.0,0.09581393536837052,1.5461970093427224,0.10693284744798107,0.6571037972046864,-0.9547464662623187,0.0005325770826653819,0.539,-0.20231477977803133,-0.21622909607908192,-0.2092563104087168,-0.20835259194580089,-0.20558533584079766,-0.2056829787307212,1000,10000,100000,0.001,2034,1000,10000,100000,2034,0.01,0.0009581393536837051,5.325770826653819e-06,0.005390000000000001,0.006941530630685477,0.006972785670365106,0.0009037184629159256,0.0036709745679191497,0.003573331677995617
8,barr_call,call,0.8,1.0,1.0,0.09581393536837052,1.5461970093427224,0.10693284744798107,0.6571037972046864,-0.9547464662623187,0.0005325770826653819,0.539,0.8071187698526452,0.7819685327583981,0.7918189028177077,0.7835657951488245,0.7966018285107734,0.7939300926241732,1000,10000,100000,0.001,2034,1000,10000,100000,2034,0.01,0.0009581393536837051,5.325770826653819e-06,0.005390000000000001,0.015299867034937464,0.009850370059309665,0.008253107668883208,0.004782925693065709,0.002111189806465519
8,barr_put,put,0.8,1.0,1.0,0.09581393536837052,1.5461970093427224,0.10693284744798107,0.6571037972046864,-0.9547464662623187,0.0005325770826653819,0.539,-0.06263874491571966,-0.045242067260070976,-0.054794671260320615,-0.044144138267219676,-0.03697684943504316,-0.045976180678337135,1000,10000,100000,0.001,2034,1000,10000,100000,2034,0.01,0.0009581393536837051,5.325770826653819e-06,0.005390000000000001,0.007844073655399048,0.00955260400024964,0.010650532993100939,0.017817821825277455,0.00881849058198348
9,van_call,call,,1.0,1.0,0.08759326347420948,3.9311963133831176,0.09906009723280663,0.8015195113986148,-0.6575484867052267,0.06380434855938608,0.666,0.6918504577338432,0.70713973293514,0.712273433801841,0.7064046238233007,0.7141161516406869,0.7163722584848209,1000,10000,100000,0.001,2134,1000,10000,100000,2134,0.01,0.0008759326347420949,0.0006380434855938607,0.00666,0.02042297606799781,0.005133700866701063,0.005868809978540335,0.0018427178388458199,0.00409882468297984
9,van_put,put,,1.0,1.0,0.08759326347420948,3.9311963133831176,0.09906009723280663,0.8015195113986148,-0.6575484867052267,0.06380434855938608,0.666,-0.304861415994348,-0.2929361286114804,-0.28754412706283106,-0.297132082720275,-0.28692126644876415,-0.28449015318588106,1000,10000,100000,0.001,2134,1000,10000,100000,2134,0.01,0.0008759326347420949,0.0006380434855938607,0.00666,0.01731728893151696,0.005392001548649328,0.00958795565744397,0.0006228606140669113,0.0030539738769500002
9,barr_call,call,0.8,1.0,1.0,0.08759326347420948,3.9311963133831176,0.09906009723280663,0.8015195113986148,-0.6575484867052267,0.06380434855938608,0.666,0.7369569147961371,0.7331259814066889,0.7421552768608605,0.7633526964565207,0.7220132284321723,0.7327624178633751,1000,10000,100000,0.001,2134,1000,10000,100000,2134,0.01,0.0008759326347420949,0.0006380434855938607,0.00666,0.00519836206472335,0.009029295454171526,0.02119741959566024,0.020142048428688164,0.00939285899748532
9,barr_put,put,0.8,1.0,1.0,0.08759326347420948,3.9311963133831176,0.09906009723280663,0.8015195113986148,-0.6575484867052267,0.06380434855938608,0.666,-0.05241047122402382,-0.024485706755431914,-0.019793658394522476,0.018866078501658494,-0.009666996124891702,-0.009330468972771483,1000,10000,100000,0.001,2134,1000,10000,100000,2134,0.01,0.0008759326347420949,0.0006380434855938607,0.00666,0.032616812829501345,0.0046920483609094385,0.03865973689618097,0.010126662269630774,0.010463189421750993
10,van_call,call,,1.0,1.0,0.03578172699578667,1.637543321288439,0.02115010201032699,0.9382047718135103,-0.6445860246837184,0.0024288597843527136,0.266,0.7974382657988662,0.7815632382731138,0.7792580216186423,0.7699935180501185,0.7658217869488639,0.7654258497968895,1000,10000,100000,0.001,2234,1000,10000,100000,2234,0.01,0.0003578172699578667,2.4288597843527137e-05,0.00266,0.018180244180223903,0.002305216654471476,0.009264503568523819,0.01343623466977839,0.013832171821752781
